date,date_roc,trust,dealer,foreign
2026-06-25,115/06/25,161.41,-70.01,-405.1
2026-06-26,115/06/26,83.95,-707.34,-1431.89
2026-06-29,115/06/29,137.54,-45.93,-60.11
2026-06-30,115/06/30,7.56,145.85,-5.09
2026-07-01,115/07/01,146.21,59.38,323.76
2026-07-02,115/07/02,91.19,-43.28,-890.47
2026-07-03,115/07/03,75.96,-32.6,-777.83
2026-07-06,115/07/06,69.08,-97.21,-255.04
2026-07-07,115/07/07,87.73,-487.33,-547.31
2026-07-08,115/07/08,119.61,-169.43,-379.49
2026-07-09,115/07/09,154.1,-76.71,-471.33
2026-07-13,115/07/13,96.09,-110.98,-195.77
2026-07-14,115/07/14,148.24,-382.91,-518.93
2026-07-15,115/07/15,114.81,101.26,-14.15
2026-07-16,115/07/16,85.49,-33.58,-483.35
2026-07-17,115/07/17,95.03,-821.79,-1890.39
2026-07-20,115/07/20,146.49,-80.64,-60.84
2026-07-21,115/07/21,172.32,35.07,-43.32
2026-07-22,115/07/22,169.92,-23.98,173.44
2026-07-23,115/07/23,53.37,41.94,69.58
2026-07-24,115/07/24,57.08,-111.51,-609.5
2026-07-27,115/07/27,-2.79,-78.57,80.4
2026-07-28,115/07/28,23.53,-317.3,-875.63
2026-07-29,115/07/29,90.94,-185.99,-222.52
2026-07-30,115/07/30,126.65,-152.27,-483.12
2026-07-31,115/07/31,333.82,-162.6,675.54
2026-08-03,115/08/03,210.68,-206.53,-191.91
2026-08-04,115/08/04,252.7,-194.29,-57.32
2026-08-05,115/08/05,86.41,14.57,903.08
2026-08-06,115/08/06,88.56,-63.13,20.2
2026-08-07,115/08/07,-25.6,-9.68,-407.16
2026-08-10,115/08/10,29.84,184.68,517.15
2026-08-11,115/08/11,33.9,24.6,223.29
2026-08-12,115/08/12,28.01,87.01,110.21
2026-08-13,115/08/13,0.01,150.61,756.95
2026-08-14,115/08/14,71.96,-16.61,453.51
2026-08-17,115/08/17,-177.47,14.05,454.47
2026-08-18,115/08/18,56.63,-176.07,-119.86
2026-08-19,115/08/19,-120.91,-171.18,-416.39
2026-08-20,115/08/20,-12.11,-61.08,37.82
2026-08-21,115/08/21,21.01,29.23,283.05
2026-08-24,115/08/24,30.55,-43.33,-157.36
2026-08-25,115/08/25,-39.84,0.6,-7.87
2026-08-26,115/08/26,33.66,179.34,366.13
2026-08-27,115/08/27,-14.5,150.35,490.94
2026-08-28,115/08/28,-1.97,42.71,417.54
2026-08-31,115/08/31,-40.0,-74.53,-143.92
2026-09-01,115/09/01,136.0,163.3,267.08
2026-09-02,115/09/02,-35.28,-203.62,-913.55
2026-09-03,115/09/03,6.94,-167.08,-481.46
2026-09-04,115/09/04,-9.11,63.7,562.13
