date,date_roc,top5,top10,top5_sp,top10_sp,foreign,trust,dealer,close
2026-06-10,115/06/10,5505,1202,1781,-942,-61949,54186,4853,43422
2026-06-11,115/06/11,4828,494,569,-1910,-63168,55312,4155,43241
2026-06-12,115/06/12,5189,704,831,-1691,-65039,57111,3568,44188
2026-06-15,115/06/15,5827,1500,-1944,-2307,-66734,57702,2618,45580
2026-06-16,115/06/16,4086,2224,-1278,-2382,-69847,56894,2219,45772
2026-06-17,115/06/17,683,-6431,683,-9792,-67394,57083,72,45668
2026-06-18,115/06/18,-206,-6239,-206,-8194,-68337,58597,63,46769
2026-06-22,115/06/22,1212,-5851,1212,-7492,-70290,61196,-563,48413
2026-06-23,115/06/23,-1751,-9943,-1751,-14975,-76502,60180,930,47436
2026-06-24,115/06/24,-1576,-13224,-4577,-19187,-83605,60757,3277,46387
2026-06-25,115/06/25,1457,-10420,-1432,-17631,-81051,60921,3003,46544
2026-06-26,115/06/26,5277,-4666,2321,-10365,-76391,61247,4641,44373
2026-06-29,115/06/29,6597,-4019,2851,-9562,-76627,62962,2415,45550
2026-06-30,115/06/30,9082,-3592,3653,-10760,-83063,66623,1571,46730
2026-07-01,115/07/01,7497,-5540,2273,-12677,-84168,67194,1592,47231
2026-07-02,115/07/02,6598,-3972,2900,-10756,-84487,66410,3683,46599
2026-07-03,115/07/03,7567,-3680,4733,-6515,-81052,67213,3071,46966
2026-07-06,115/07/06,8581,-2774,5952,-5402,-80087,67254,2670,46886
2026-07-07,115/07/07,8476,-1696,5848,-4324,-80042,68187,3793,45775
2026-07-08,115/07/08,9577,-431,6914,-3094,-81268,69987,3311,45564
2026-07-09,115/07/09,7286,-272,7286,-59,-80730,71689,2243,45678
2026-07-13,115/07/13,-2562,-4408,-4638,-6484,-81066,71794,1270,45617
2026-07-14,115/07/14,-945,-2991,-2982,-4058,-83390,73873,2352,44815
2026-07-15,115/07/15,15358,6182,15358,6182,-79557,75646,-664,45830
2026-07-16,115/07/16,12706,3426,12706,1591,-84453,76264,657,45700
2026-07-17,115/07/17,11816,549,8755,-2512,-86189,75215,4666,42725
2026-07-20,115/07/20,15366,4738,15366,2250,-78337,72446,2974,42641
2026-07-21,115/07/21,20283,8489,20283,6871,-78490,75570,1203,44377
2026-07-22,115/07/22,20806,8898,20806,6671,-76595,75623,1139,44631
2026-07-23,115/07/23,22547,10778,22547,9707,-75198,75492,739,44930
2026-07-24,115/07/24,22600,10957,22600,9435,-76260,73838,2258,43905
2026-07-27,115/07/27,20769,8825,20769,6168,-78699,74111,1891,43907
2026-07-28,115/07/28,18157,5475,18157,2056,-82255,74886,2588,41613
2026-07-29,115/07/29,15729,3243,15729,-686,-82785,74742,2552,40392
2026-07-30,115/07/30,18076,4783,18076,3337,-81017,75857,1996,40270
2026-07-31,115/07/31,23999,12175,23999,12175,-82515,85325,-2377,43678
2026-08-03,115/08/03,16194,2359,16194,2359,-90038,83900,718,43230
2026-08-04,115/08/04,17200,4161,17200,4161,-87858,82548,2356,43357
2026-08-05,115/08/05,19403,6110,19403,6110,-87199,84575,1311,44514
2026-08-06,115/08/06,18080,5766,18080,5766,-89383,84163,2602,44280
2026-08-07,115/08/07,17975,6077,17975,5036,-87911,83077,2512,44349
2026-08-10,115/08/10,16886,4520,16886,4520,-89201,83751,1679,44987
2026-08-11,115/08/11,15966,3557,15966,3557,-88924,83418,1899,45090
2026-08-12,115/08/12,15753,2549,15753,1842,-86633,82383,1239,45528
2026-08-13,115/08/13,13524,1702,13524,1702,-86249,82327,472,46005
2026-08-14,115/08/14,11078,696,11078,-133,-85179,80335,1464,45841
2026-08-17,115/08/17,6392,-1578,6392,-2907,-83474,78013,1021,45888
2026-08-18,115/08/18,-291,-1873,-291,-2463,-83078,76112,2566,45085
2026-08-19,115/08/19,18023,5933,18023,3074,-81501,74789,2562,44612
2026-08-20,115/08/20,20132,7315,20132,4422,-82423,75825,2019,44868
2026-08-21,115/08/21,20479,7063,20479,4404,-82594,76316,1699,45148
2026-08-24,115/08/24,20292,6895,20292,4263,-82529,75808,2315,44762
2026-08-25,115/08/25,21052,7130,21052,4506,-85380,76309,2501,45027
2026-08-26,115/08/26,24543,10608,24543,9110,-83654,78043,-421,46011
2026-08-27,115/08/27,23524,7975,23524,6477,-84836,76834,376,46078
2026-08-28,115/08/28,23313,7852,23313,6514,-83655,76752,657,46357
